599,176,713,175,713,204,599,205
590,140,710,132,712,167,592,176
598,278,675,277,675,301,598,302
905,136,1007,71,1030,111,928,176
648,247,709,248,709,269,648,269
603,225,644,223,645,242,604,243
596,251,643,249,644,272,596,273
638,368,696,365,697,377,638,380
678,276,721,278,720,303,677,301
348,268,407,269,407,281,348,280
605,409,661,412,661,424,604,421
667,411,716,409,717,421,667,423
238,120,299,161,283,189,222,148
624,115,652,113,653,127,625,130
644,381,680,380,680,390,644,392
596,121,627,115,630,130,599,137
649,113,683,114,683,129,649,129
675,115,705,117,705,131,675,130
