28,53,252,62,251,116,26,106
18,371,259,351,262,391,21,411
271,347,433,337,435,374,273,384
87,104,239,117,237,142,85,129
196,405,272,397,274,423,198,431
312,493,371,482,373,497,315,507
396,476,444,467,446,482,399,492
77,422,138,417,140,441,78,447
319,388,381,382,383,406,321,412
19,430,69,427,70,452,21,455
392,400,432,397,433,413,393,416
381,384,435,378,437,395,382,401
207,449,252,444,254,458,208,463
338,427,382,420,384,434,340,441
275,396,316,391,318,415,277,420
245,445,308,435,310,449,247,459
142,413,187,408,189,433,144,438
172,452,209,449,210,465,173,468
391,415,434,410,435,427,392,432
