1095,411,1166,409,1167,438,1095,439
1109,373,1180,369,1181,389,1110,393
1079,346,1143,341,1144,365,1080,370
1023,350,1081,347,1082,370,1024,373
1061,464,1112,468,1111,483,1060,479
1009,446,1060,448,1060,461,1008,459
1072,375,1109,373,1109,391,1073,393
1031,376,1071,374,1072,393,1032,395
1147,450,1199,451,1199,465,1147,464
1106,466,1145,467,1145,482,1105,481
1089,450,1141,451,1141,465,1089,464
996,379,1033,376,1034,396,998,399
1059,447,1093,450,1092,465,1058,461
1044,411,1070,413,1069,432,1043,431
