1028,352,1206,351,1206,405,1028,406
743,203,902,202,902,237,743,238
1033,405,1205,405,1205,433,1033,432
166,613,329,616,329,639,165,635
388,619,472,616,473,651,388,653
184,234,271,243,268,275,181,267
797,318,851,319,851,332,797,331
1020,163,1056,164,1056,178,1019,176
872,319,921,318,921,332,872,333
854,242,912,242,911,256,854,255
1044,178,1072,180,1072,191,1044,189
357,427,388,428,388,441,357,440
783,300,821,301,820,314,783,313
805,243,853,242,853,255,805,255
812,300,848,301,848,313,811,313
1021,178,1044,179,1044,191,1020,190
843,319,872,320,872,332,843,332
