307,58,400,62,399,88,306,84
124,41,224,44,223,75,123,71
803,207,873,207,873,229,802,228
301,121,414,123,414,139,301,137
51,32,114,34,113,67,51,65
49,69,139,74,138,96,48,90
158,102,203,104,203,118,157,117
150,118,210,120,210,136,149,134
0,112,51,114,50,127,0,125
212,103,256,105,255,123,211,121
0,67,49,68,48,90,-1,89
105,116,155,118,154,134,104,131
-1,96,37,97,37,111,-1,110
40,96,72,98,71,113,39,111
73,97,130,99,129,115,72,113
75,115,102,116,102,132,74,131
138,75,164,76,164,97,138,96
45,114,72,114,72,129,45,128
