213,162,296,164,295,199,212,198
226,220,288,222,287,238,225,236
566,229,609,225,611,247,567,250
908,225,969,219,970,235,910,241
240,236,292,236,292,252,240,251
236,198,275,199,275,212,235,211
259,373,291,372,292,386,260,387
634,226,660,227,659,248,633,247
227,406,259,405,259,418,228,419
257,404,287,404,287,416,257,417
218,391,252,392,252,406,218,405
232,375,268,376,268,389,232,389
259,389,285,389,285,401,259,401
208,237,244,237,244,250,208,250
826,224,853,223,854,237,827,239
206,225,232,224,232,238,206,239
