610,236,696,235,696,260,610,260
569,340,654,339,655,364,569,364
572,320,650,321,649,342,572,341
375,241,526,241,526,280,375,280
588,362,635,362,635,377,588,378
613,259,700,260,700,283,612,282
751,294,789,297,788,309,750,306
759,283,794,286,793,297,758,294
838,282,882,283,882,297,838,296
811,258,849,259,848,271,811,270
852,258,890,259,890,271,852,270
873,247,911,247,911,259,873,259
549,240,613,240,613,280,549,281
804,245,837,247,837,259,803,257
781,246,811,247,811,259,781,258
777,268,811,270,810,282,777,280
806,283,834,283,834,294,806,293
806,295,829,295,829,307,806,307
781,256,813,257,813,268,781,267
808,268,850,268,850,281,808,280
788,295,813,296,813,307,788,307
750,255,782,257,781,270,749,268
