47,257,105,258,105,282,46,281
874,458,935,460,934,481,874,478
867,353,931,356,930,375,866,372
913,206,952,203,953,219,914,222
1189,230,1273,231,1273,250,1189,249
935,183,983,179,985,195,936,199
1094,212,1167,211,1168,229,1094,231
1086,233,1167,232,1168,250,1087,251
896,188,935,185,936,202,897,205
866,302,925,301,925,321,866,322
869,380,928,382,928,400,868,399
1179,210,1259,210,1258,230,1179,230
869,431,928,433,927,453,868,451
955,201,984,198,985,215,957,218
950,377,990,377,990,390,950,390
1154,234,1184,234,1185,249,1154,249
