351,347,468,335,470,356,352,369
372,311,462,299,466,333,376,346
350,133,429,123,430,140,351,150
156,232,232,215,238,244,162,261
837,175,881,166,886,195,843,205
232,325,291,312,296,338,237,351
346,258,396,253,397,265,347,270
431,249,464,246,465,259,433,262
400,284,467,278,469,298,402,304
218,273,285,261,292,311,225,322
411,236,455,233,456,247,412,251
344,289,394,285,396,305,346,310
403,252,427,251,428,262,404,264
840,293,874,280,880,299,845,311
376,239,416,236,417,251,377,254
347,309,393,305,395,343,349,346
346,242,381,238,382,253,347,257
