213,138,325,130,327,153,214,161
151,256,211,252,212,270,151,273
162,446,216,450,215,469,161,466
940,164,998,162,999,184,940,186
1186,91,1242,88,1243,101,1187,105
434,121,489,115,490,128,435,134
316,135,381,126,382,141,318,150
1015,124,1057,122,1058,135,1016,137
164,349,203,352,201,370,163,366
1017,137,1059,134,1060,146,1018,149
1014,112,1050,109,1051,122,1015,125
1241,87,1264,86,1265,98,1242,99
1018,150,1049,148,1049,160,1019,162
184,151,215,147,216,163,186,166
153,155,192,150,194,164,154,169
381,127,411,123,413,137,383,141
408,124,435,121,436,133,409,137
