1005,287,1062,288,1061,308,1004,306
575,174,667,155,675,201,583,219
515,190,581,178,588,222,522,234
992,208,1066,198,1070,232,996,242
565,262,617,258,618,271,566,275
655,78,691,61,702,89,666,105
1025,266,1101,265,1101,284,1025,285
1019,306,1072,308,1071,328,1018,326
1070,304,1123,305,1122,328,1070,328
996,185,1048,176,1052,198,1000,208
628,96,660,81,669,105,637,119
979,311,1013,310,1013,328,979,329
980,268,1025,266,1026,287,981,289
920,250,949,246,951,260,921,263
1139,221,1175,218,1176,231,1140,233
